"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.01.2023","1.929,50","1.831,80","1.949,80","1.829,90","3,78M","5,66%"
"01.12.2022","1.826,20","1.783,10","1.841,90","1.778,10","3,00M","3,77%"
"01.11.2022","1.759,90","1.649,90","1.806,00","1.632,40","1,10M","7,27%"
"01.10.2022","1.640,70","1.670,50","1.738,70","1.621,10","3,75M","-1,87%"
"01.09.2022","1.672,00","1.708,00","1.737,30","1.618,00","388,70K","-2,87%"
"01.08.2022","1.721,40","1.772,20","1.814,40","1.722,50","130,19K","-2,83%"
"01.07.2022","1.771,50","1.810,30","1.817,00","1.682,80","40,17K","-2,24%"
"01.06.2022","1.812,00","1.840,00","1.882,50","1.806,10","2,97M","-1,97%"
"01.05.2022","1.848,40","1.894,50","1.910,20","1.790,00","331,22K","-3,48%"
"01.04.2022","1.915,10","1.942,40","2.003,00","1.881,60","2,80M","-1,99%"
"01.03.2022","1.954,00","1.909,00","2.078,70","1.891,00","308,96K","2,72%"
"01.02.2022","1.902,20","1.798,90","1.976,50","1.788,50","3,42M","5,89%"
"01.01.2022","1.796,40","1.826,80","1.855,60","1.780,60","369,45K","-1,82%"
"01.12.2021","1.829,70","1.777,40","1.830,20","1.753,00","2,66M","2,99%"
"01.11.2021","1.776,50","1.785,50","1.880,10","1.762,30","404,59K","-0,47%"
"01.10.2021","1.784,90","1.757,20","1.815,50","1.745,40","3,44M","1,59%"
"01.09.2021","1.757,00","1.817,10","1.834,20","1.721,10","428,81K","-3,30%"
"01.08.2021","1.816,90","1.814,60","1.833,40","1.676,40","136,35K","0,13%"
"01.07.2021","1.814,50","1.777,50","1.834,70","1.769,10","33,13K","2,38%"
"01.06.2021","1.772,40","1.906,80","1.919,20","1.756,70","4,21M","-6,98%"
"01.05.2021","1.905,30","1.774,80","1.914,00","1.772,90","420,31K","7,73%"
"01.04.2021","1.768,60","1.709,00","1.798,40","1.706,40","3,03M","3,09%"
"01.03.2021","1.715,60","1.739,00","1.755,00","1.677,20","444,81K","-0,84%"
"01.02.2021","1.730,10","1.865,00","1.876,00","1.720,00","3,65M","-6,50%"
"01.01.2021","1.850,30","1.917,80","1.961,40","1.804,20","563,53K","-2,48%"
